recording_id	recording_title	performer_name	label_name	catalog_number	source_id	source_reference	confidence	review_status
REC000427	Aurora	Pimentel - Ledezma	Peerless	4641A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000430	Ausencia	Orquesta De Memo Salamanca	Peerless	7056	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000440	Ay Coahuila	Martin Y Malena	Peerless	2377	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000441	Ay Cuanto Quiero A Mi Consuelito	Cirila Y Celedonio	Peerless	3853	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000446	AY! Uruapan	Martin Y Martita	Peerless	2345	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000453	Ay! Chihuahua, Cuanto Apache	Martin Y Eloisa	Peerless	1867	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000470	Bahia	Orquesta De Abel Domínguez	Peerless	2145	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000473	Baile De Los Turroneros	Orquesta De Juan S. Garrido	Peerless	2136	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000489	Barrio Alegre	Dueto Adan Y Eva	Peerless	3955	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000518	Besos De Papel	Dueto Aguila Y Sol	Peerless	7419	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000522	Bigotes	Laurita y Ray	Peerless	2857	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000523	Bijou	Orquesta Hermanos Marquez	Peerless	2398	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000525	Blanca	Emilio Tuero - Hnas. Aguila	Peerless	946	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000530	Bohemia	Orquesta De Ramon Marquez	Peerless	4034	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000532	Bongo Bongo	Orquesta Tropical Maravilla	Peerless	3161	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000569	Caldo De Oso	Orquesta De Noe Fajardo	Peerless	2797	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000571	Calientito	Orquesta Tropical	Peerless	2405	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000602	Camioncito Flecha Roja	Angelina Y Tono	Peerless	2485	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000603	Camioncito Flecha Roja	Dueto Aguila Y Sol	Peerless	7367	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000612	Cancion De Amor	Cuarteto Armonico - Hermanas Cora	Peerless	5089	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000624	Cancion Mixteca	Juan Arvizú - Mario Talavera	Peerless	1122	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000639	Canta Canta	Orquesta De Memo Salamanca	Peerless	7035	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000647	Cantinero	Dueto Blanco Y Negro	Peerless	5028	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000648	Cantinero	Dueto Blanco Y Negro	Peerless	5028-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
