unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status	target_primary_group_id	target_primary_performer_id	unit0145_status
UNIT0113-17-018	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	17. Vagabundo Soy - Rodolfo Aicardi Y Su Tipica Ra7			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-019	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	18. La Colegiala - Rodolfo Aicardi Y Su Tipica Ra7			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-020	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	19. Por Favor Olvidame - Rodolfo Aicardi Y Su Tipica Ra7			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-021	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	20. Botellita De Ron - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-022	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	DISCO NUMERO 2			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-023	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	1. Adonay - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-024	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	2. El Preso - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-025	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	3. Daniela - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-026	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	4. Los Domingos - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-027	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	5. Feliz Nochebuena - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-028	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	6. Chan Con Chan - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-029	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	7. La Misma Vaina - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-030	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	8. Cantares De Navidad - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
