candidate_performer_name	candidate_type	source_id	confidence	review_status
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay Y Leandro Corona	recovered_from_frontera	SRC0001	high	recovered_candidate
Marimba Orquesta De Los Hnos. Dominguez	recovered_from_frontera	SRC0001	high	recovered_candidate
Hermanas Cora Y Hermanos Zaizar	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Juan S. Garrido	recovered_from_frontera	SRC0001	high	recovered_candidate
La Prieta Linda y Hermanos Zaizar	recovered_from_frontera	SRC0001	high	recovered_candidate
Manuel Nuñez Y Goty	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Arturo Nuñez	recovered_from_frontera	SRC0001	high	recovered_candidate
Beatriz Eugenia y Luis Lozano	recovered_from_frontera	SRC0001	high	recovered_candidate
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay	recovered_from_frontera	SRC0001	high	recovered_candidate
Martha Y Felipe	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Tropical De Chucho Rodriguez	recovered_from_frontera	SRC0001	high	recovered_candidate
Prieta Linda - Hermanos Zaizar	recovered_from_frontera	SRC0001	high	recovered_candidate
Pedro Patricio Y Panfilo Patricio	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Cuerdas Y Alientos De Aurelio De La Cruz	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Cuerdas De Gervasio Lopez	recovered_from_frontera	SRC0001	high	recovered_candidate
Tere Y Maricela	recovered_from_frontera	SRC0001	high	recovered_candidate
Lola Beltran Y Prieta Linda	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Alberto Dominguez	recovered_from_frontera	SRC0001	high	recovered_candidate
N. Farjardo - L. Bravo - A. Islas	recovered_from_frontera	SRC0001	high	recovered_candidate
Bob & Tony	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta De Pepe De Le Vega	recovered_from_frontera	SRC0001	high	recovered_candidate
Orquesta Alejandro Cardona	recovered_from_frontera	SRC0001	high	recovered_candidate
