source_id	batch_id	release_title	primary_artist	release_year	label	track_position	recording_title	source_url	evidence_status	review_status
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	A1	Así Se Compone Un Son	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	A2	Nicolás	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	A3	Sálvame	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	A4	Ahora Sí	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	A5	Me Voy Pa' Colombia	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	B1	Cuídate Bien	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	B2	Mulence	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	B3	Las Cuarentas	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	B4	Sonerito	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
SRC0003	0002	Así Se Compone Un Son	Ismael Miranda	1973	Fania Records	B5	Ahora Que Estoy Sabroso	https://fania.com/record/asi-se-compone-un-son/	source_verified	candidate
