recording_id	recording_title	recording_path	performer_name	label_name	catalog_number	format	source_id	source_reference	confidence	review_status
REC000022	A La Orilla Del Mar	/recordings/la-orilla-del-mar-25	Pedro Infante	Peerless	MS-TV-4001-9	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000023	A La Orilla Del Mar	/recordings/la-orilla-del-mar-26	Pedro Infante	Peerless	TV-4001-2	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000024	A Los Amigos Que Tengo	/recordings/los-amigos-que-tengo-2	Pedro Infante	Peerless	4840-A	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000025	A Los Cuatro Vientos	/recordings/los-cuatro-vientos-21	Lola Beltran Y Trio Hnos. Michel	Peerless	4602A	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000026	A Los Cuatro Vientos	/recordings/los-cuatro-vientos-22	Pedro Infante	Peerless	4654B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000027	A Los Cuatro Vientos	/recordings/los-cuatro-vientos-29	Lola Beltrán	Peerless	1570	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000028	A Los Cuatro Vientos	/recordings/los-cuatro-vientos-30	Pedro Infante	Peerless	PLP-4001	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000029	A Mano Estamos	/recordings/mano-estamos-0	Las Norteñitas	Peerless	7768	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000030	A Mano Quedamos	/recordings/mano-quedamos-1	Las Norteñitas	Peerless	7974-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000031	A Mano Quedamos	/recordings/mano-quedamos-3	Las Norteñitas	Peerless	LD-759	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000032	A Medias De La Noche	/recordings/medias-de-la-noche-60	David Zaizar	Peerless	LP-1355	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000033	A Mi Manera - My Way	/recordings/mi-manera-my-way	Los Gallos De Oro	Peerless	lp-1926	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000034	A Mi No Me Interesa	/recordings/mi-no-me-interesa-1	Hermanas Hernández	Peerless	4056	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000035	A Orillas Del Papaloapan	/recordings/orillas-del-papaloapan-3	Hnos. Huesca	Peerless	AP-124	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000036	A Pedazos	/recordings/pedazos-4	Los Johnny Jets	Peerless	S-1706	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000037	A Poco No	/recordings/poco-no-8	Lola Beltrán	Peerless	8561-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000038	A Poco No	/recordings/poco-no-11	Beatriz Adriana	Peerless	1029-A	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000039	A Poco No	/recordings/poco-no-12	Lola Beltrán	Peerless	LD-1160	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000040	A Poco No	/recordings/poco-no-13	Beatriz Adriana	Peerless	LP-1986	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000041	A Prision Perpetua	/recordings/prision-perpetua-10	Julio Aldama	Peerless	5047	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000042	A Punto De Gritar	/recordings/punto-de-gritar	Hermanos Zaizar	Peerless	S-1634	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000043	A Punto De Llorar	/recordings/punto-de-llorar-11	Lola Beltrán	Peerless	5004	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000044	A Punto De Llorar	/recordings/punto-de-llorar-12	Lola Beltrán	Peerless	5194	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000045	A Puño Limpio	/recordings/pu%C3%B1o-limpio-0	Salvador García	Peerless	2150	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000046	A Rebozasos	/recordings/rebozasos-0	Erendira Y Rene	Peerless	4809B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000047	A Rienda Suelta	/recordings/rienda-suelta-21	Juan Mendoza	Peerless	5048	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000048	A San Pedro	/recordings/san-pedro	Tropical Florida	Peerless	1018-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000049	A Solas Contigo	/recordings/solas-contigo-4	Martha Triana	Peerless	2302	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000050	A Su Salud	/recordings/su-salud-4	Julio Aldama	Peerless	5078	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000051	A Ti Que	/recordings/ti-que-16	Hermanos Zaizar	Peerless	4737A	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000052	A Todo Dar	/recordings/todo-dar-21	Pedro Infante	Peerless	5057	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
