batch_recording_id	batch_song_id	confidence	evidence_text	relationship_type	review_status	source_id	source_reference
SRC0002-B0004-REC001	SRC0002-B0004-SONG001	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='1', raw_track='Yo También Tuve Veinte Años'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-1
SRC0002-B0004-REC002	SRC0002-B0004-SONG002	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='2', raw_track='Las Acacias'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-2
SRC0002-B0004-REC003	SRC0002-B0004-SONG003	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='3', raw_track='Ayer Me Echaron Del Pueblo'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-3
SRC0002-B0004-REC004	SRC0002-B0004-SONG004	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='4', raw_track='Un Recuerdo De Amor'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-4
SRC0002-B0004-REC005	SRC0002-B0004-SONG005	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='5', raw_track='Grato Silencio'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-5
SRC0002-B0004-REC006	SRC0002-B0004-SONG006	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='6', raw_track='Pesares'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-6
SRC0002-B0004-REC007	SRC0002-B0004-SONG007	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='7', raw_track='Antioqueñita'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-7
SRC0002-B0004-REC008	SRC0002-B0004-SONG008	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='8', raw_track='Tierra Labrantía'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-8
SRC0002-B0004-REC009	SRC0002-B0004-SONG009	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='9', raw_track='Las Mirlas'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-9
SRC0002-B0004-REC010	SRC0002-B0004-SONG010	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='10', raw_track='Huri'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-10
SRC0002-B0004-REC011	SRC0002-B0004-SONG011	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='1', raw_track='María de los Guardias'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-1
SRC0002-B0004-REC012	SRC0002-B0004-SONG012	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='2', raw_track='Señor'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-2
SRC0002-B0004-REC013	SRC0002-B0004-SONG013	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='3', raw_track='No Te Pido Más'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-3
SRC0002-B0004-REC014	SRC0002-B0004-SONG014	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='4', raw_track='Castiga Tirano'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-4
SRC0002-B0004-REC015	SRC0002-B0004-SONG015	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='5', raw_track='Señora'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-5
SRC0002-B0004-REC016	SRC0002-B0004-SONG016	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='6', raw_track='Mal Hombre'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-6
SRC0002-B0004-REC017	SRC0002-B0004-SONG017	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='7', raw_track='Propiedad Privada'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-7
SRC0002-B0004-REC018	SRC0002-B0004-SONG018	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='8', raw_track='La Hija del Penal'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-8
SRC0002-B0004-REC019	SRC0002-B0004-SONG019	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='9', raw_track='Me la Robaste'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-9
SRC0002-B0004-REC020	SRC0002-B0004-SONG020	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='10', raw_track='Nos Estorbó la Ropa'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-10
SRC0002-B0004-REC021	SRC0002-B0004-SONG021	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='1', raw_track='El Carretero'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-1
SRC0002-B0004-REC022	SRC0002-B0004-SONG022	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='2', raw_track='Malao de Caña'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-2
SRC0002-B0004-REC023	SRC0002-B0004-SONG023	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='3', raw_track='El Que Siembra Su Maíz'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-3
SRC0002-B0004-REC024	SRC0002-B0004-SONG024	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='4', raw_track='A San Lázaro (Babalú)'	track_title_match	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-4
