batch_recording_id	confidence	evidence_text	relationship_type	review_status	source_id	source_reference	source_url
SRC0002-B0004-REC015	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='5', raw_track='Señora'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/
SRC0002-B0004-REC016	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='6', raw_track='Mal Hombre'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/
SRC0002-B0004-REC017	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='7', raw_track='Propiedad Privada'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/
SRC0002-B0004-REC018	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='8', raw_track='La Hija del Penal'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/
SRC0002-B0004-REC019	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='9', raw_track='Me la Robaste'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/
SRC0002-B0004-REC020	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='10', raw_track='Nos Estorbó la Ropa'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/
SRC0002-B0004-REC021	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='1', raw_track='El Carretero'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC022	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='2', raw_track='Malao de Caña'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC023	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='3', raw_track='El Que Siembra Su Maíz'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC024	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='4', raw_track='A San Lázaro (Babalú)'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC025	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='5', raw_track='Lupita'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC026	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='6', raw_track='Yo Tengo Pena'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC027	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='7', raw_track='Mira Que Eres Linda'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC028	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='8', raw_track='Alegre Petición'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
