batch_recording_id	batch_song_id	relationship_type	source_id	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-REC001	SRC0002-B0003-SONG001	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A1	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A1', raw_track='La Danza del Mono'	high	staged_for_review
SRC0002-B0003-REC002	SRC0002-B0003-SONG002	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A2	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A2', raw_track='Cumbia y Nada Más'	high	staged_for_review
SRC0002-B0003-REC003	SRC0002-B0003-SONG003	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A3	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A3', raw_track='Trueno'	high	staged_for_review
SRC0002-B0003-REC004	SRC0002-B0003-SONG004	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A4	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A4', raw_track='Cumbia de Mis Penas'	high	staged_for_review
SRC0002-B0003-REC005	SRC0002-B0003-SONG005	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A5	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A5', raw_track='Afrocumbé'	high	staged_for_review
SRC0002-B0003-REC006	SRC0002-B0003-SONG006	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B1	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B1', raw_track='La Chula Loba'	high	staged_for_review
SRC0002-B0003-REC007	SRC0002-B0003-SONG007	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B2	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B2', raw_track='El Aguacero'	high	staged_for_review
SRC0002-B0003-REC008	SRC0002-B0003-SONG008	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B3	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B3', raw_track='Mardito'	high	staged_for_review
SRC0002-B0003-REC009	SRC0002-B0003-SONG009	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B4	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B4', raw_track='Cajita de Cumbia'	high	staged_for_review
SRC0002-B0003-REC010	SRC0002-B0003-SONG010	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B5	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B5', raw_track='Chiribiquete'	high	staged_for_review
