batch_recording_id	artist_candidate_id	raw_artist_text	relationship_type	source_id	source_reference	evidence_text	confidence	review_status
SRC0002-B0001-REC001	SRC0002-B0001-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='1', raw_track='Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero', reference='202450'	high	staged_for_review
SRC0002-B0001-REC001	SRC0002-B0001-ART002	La Delio Valdez	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='1', raw_track='Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero', reference='202450'	high	staged_for_review
SRC0002-B0001-REC001	SRC0002-B0001-ART003	Yeison Landero	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='1', raw_track='Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero', reference='202450'	high	staged_for_review
SRC0002-B0001-REC002	SRC0002-B0001-ART004	The Latin Brothers	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='2', raw_track='Perdona Si Te Ofendo | The Latin Brothers', reference='202450'	high	staged_for_review
SRC0002-B0001-REC003	SRC0002-B0001-ART005	VEBA	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A3	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='3', raw_track='Desorden # 1 | VEBA', reference='202450'	high	staged_for_review
SRC0002-B0001-REC004	SRC0002-B0001-ART006	AEME	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A4	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='4', raw_track='El Arrebato | AEME', reference='202450'	high	staged_for_review
SRC0002-B0001-REC005	SRC0002-B0001-ART007	La Sonora Dinamita	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A5	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='5', raw_track='Enamorao | La Sonora Dinamita', reference='202450'	high	staged_for_review
SRC0002-B0001-REC006	SRC0002-B0001-ART008	Los Corraleros De Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A6	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='6', raw_track='Nadie Se Muere | Los Corraleros De Majagual', reference='202450'	high	staged_for_review
SRC0002-B0001-REC007	SRC0002-B0001-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A7	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='7', raw_track='Arrocito En Bajo | Los Cumbia Stars', reference='202450'	high	staged_for_review
SRC0002-B0001-REC008	SRC0002-B0001-ART009	Esparragoza	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='1', raw_track='Los Gaiteros | Esparragoza', reference='202450'	high	staged_for_review
SRC0002-B0001-REC009	SRC0002-B0001-ART010	Yandar Y Yostin	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='2', raw_track='Costeo | Yandar Y Yostin, J Kalder', reference='202450'	high	staged_for_review
SRC0002-B0001-REC009	SRC0002-B0001-ART011	J Kalder	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='2', raw_track='Costeo | Yandar Y Yostin, J Kalder', reference='202450'	high	staged_for_review
