batch_recording_id	confidence	evidence_text	relationship_type	release_candidate_id	review_status	source_id	source_reference
SRC0002-B0004-REC001	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='1', raw_track='Yo También Tuve Veinte Años'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-1
SRC0002-B0004-REC002	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='2', raw_track='Las Acacias'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-2
SRC0002-B0004-REC003	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='3', raw_track='Ayer Me Echaron Del Pueblo'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-3
SRC0002-B0004-REC004	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='4', raw_track='Un Recuerdo De Amor'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-4
SRC0002-B0004-REC005	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='5', raw_track='Grato Silencio'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-5
SRC0002-B0004-REC006	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='6', raw_track='Pesares'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-6
SRC0002-B0004-REC007	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='7', raw_track='Antioqueñita'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-7
SRC0002-B0004-REC008	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='8', raw_track='Tierra Labrantía'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-8
SRC0002-B0004-REC009	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='9', raw_track='Las Mirlas'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-9
SRC0002-B0004-REC010	high	Discos Fuentes shop product page: release='Colección 100 Mejores Canciones de Música Colombiana del Siglo', track='10', raw_track='Huri'	track_of_release	SRC0002-B0004-REL001	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-canciones-musica-colombiana/#track-10
