batch_recording_id	artist_candidate_id	raw_artist_text	relationship_type	source_id	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-REC029	SRC0002-B0003-ART005	La Sonora Matancera	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-5	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='5', raw_track='El Mambo es Universal'	high	staged_for_review
SRC0002-B0003-REC030	SRC0002-B0003-ART005	La Sonora Matancera	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-6	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='6', raw_track='Cuando Tú Seas Mía'	high	staged_for_review
SRC0002-B0003-REC031	SRC0002-B0003-ART005	La Sonora Matancera	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-7	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='7', raw_track='Oye Mima'	high	staged_for_review
SRC0002-B0003-REC032	SRC0002-B0003-ART005	La Sonora Matancera	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-8	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='8', raw_track='Desesperación'	high	staged_for_review
SRC0002-B0003-REC033	SRC0002-B0003-ART005	La Sonora Matancera	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-9	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='9', raw_track='Quedé Zaina'	high	staged_for_review
SRC0002-B0003-REC034	SRC0002-B0003-ART005	La Sonora Matancera	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-10	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='10', raw_track='Historia de Un Amor'	high	staged_for_review
SRC0002-B0003-REC035	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-1	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='1', raw_track='A Mi Dios Todo le Debo'	high	staged_for_review
SRC0002-B0003-REC036	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-2	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='2', raw_track='Confundido'	high	staged_for_review
SRC0002-B0003-REC037	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-3	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='3', raw_track='El Arbol'	high	staged_for_review
SRC0002-B0003-REC038	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-4	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='4', raw_track='El Caminante'	high	staged_for_review
SRC0002-B0003-REC039	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-5	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='5', raw_track='El Centurión de la Noche'	high	staged_for_review
SRC0002-B0003-REC040	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-6	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='6', raw_track='El Cocinero Mayor'	high	staged_for_review
SRC0002-B0003-REC041	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-7	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='7', raw_track='El Son del Caballo'	high	staged_for_review
SRC0002-B0003-REC042	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-8	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='8', raw_track='La Maestranza # 1'	high	staged_for_review
SRC0002-B0003-REC043	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-9	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='9', raw_track='Por Ti No Moriré'	high	staged_for_review
SRC0002-B0003-REC044	SRC0002-B0003-ART006	Joe Arroyo	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-10	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='10', raw_track='Teresa Vuelve'	high	staged_for_review
SRC0002-B0003-REC045	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-1	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='1', raw_track='Los Sabanales'	high	staged_for_review
SRC0002-B0003-REC046	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-2	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='2', raw_track='La Yerbita'	high	staged_for_review
SRC0002-B0003-REC047	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-3	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='3', raw_track='No Me Busques'	high	staged_for_review
SRC0002-B0003-REC048	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-4	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='4', raw_track='Suéltala Pa' Que Se Defienda'	high	staged_for_review
SRC0002-B0003-REC049	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-5	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='5', raw_track='Tres Tigres'	high	staged_for_review
SRC0002-B0003-REC050	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-6	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='6', raw_track='Cumbiamberita'	high	staged_for_review
SRC0002-B0003-REC051	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-7	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='7', raw_track='Cumbia Saramuya'	high	staged_for_review
SRC0002-B0003-REC052	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-8	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='8', raw_track='El Bailador'	high	staged_for_review
SRC0002-B0003-REC053	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-9	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='9', raw_track='El Pasmao'	high	staged_for_review
SRC0002-B0003-REC054	SRC0002-B0003-ART007	Los Corraleros de Majagual	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-10	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='10', raw_track='El Tamarindo'	high	staged_for_review
