batch_recording_id	batch_song_id	confidence	evidence_text	relationship_type	review_status	source_id	source_reference
SRC0003-B0001-REC001	SRC0003-B0001-SONG001	high	Fania official shop product page: release='Siembra', track='A1', raw_track='Plástico'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A1
SRC0003-B0001-REC002	SRC0003-B0001-SONG002	high	Fania official shop product page: release='Siembra', track='A2', raw_track='Buscando Guayaba'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A2
SRC0003-B0001-REC003	SRC0003-B0001-SONG003	high	Fania official shop product page: release='Siembra', track='A3', raw_track='Pedro Navaja'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A3
SRC0003-B0001-REC004	SRC0003-B0001-SONG004	high	Fania official shop product page: release='Siembra', track='B1', raw_track='María Lionza'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B1
SRC0003-B0001-REC005	SRC0003-B0001-SONG005	high	Fania official shop product page: release='Siembra', track='B2', raw_track='Ojos'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B2
SRC0003-B0001-REC006	SRC0003-B0001-SONG006	high	Fania official shop product page: release='Siembra', track='B3', raw_track='Dime'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B3
SRC0003-B0001-REC007	SRC0003-B0001-SONG007	high	Fania official shop product page: release='Siembra', track='B4', raw_track='Siembra'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B4
SRC0003-B0001-REC008	SRC0003-B0001-SONG008	high	Fania official shop product page: release='Celia & Johnny', track='A1', raw_track='Quimbara'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A1
SRC0003-B0001-REC009	SRC0003-B0001-SONG009	high	Fania official shop product page: release='Celia & Johnny', track='A2', raw_track='Toro Mata'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A2
SRC0003-B0001-REC010	SRC0003-B0001-SONG010	high	Fania official shop product page: release='Celia & Johnny', track='A3', raw_track='Vieja Luna'	track_title_match	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A3
