batch_recording_id	confidence	evidence_text	relationship_type	release_candidate_id	review_status	source_id	source_reference
SRC0003-B0001-REC001	high	Fania official shop product page: release='Siembra', track='A1', raw_track='Plástico'	track_of_release	SRC0003-B0001-REL001	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A1
SRC0003-B0001-REC002	high	Fania official shop product page: release='Siembra', track='A2', raw_track='Buscando Guayaba'	track_of_release	SRC0003-B0001-REL001	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A2
SRC0003-B0001-REC003	high	Fania official shop product page: release='Siembra', track='A3', raw_track='Pedro Navaja'	track_of_release	SRC0003-B0001-REL001	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A3
SRC0003-B0001-REC004	high	Fania official shop product page: release='Siembra', track='B1', raw_track='María Lionza'	track_of_release	SRC0003-B0001-REL001	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B1
SRC0003-B0001-REC005	high	Fania official shop product page: release='Siembra', track='B2', raw_track='Ojos'	track_of_release	SRC0003-B0001-REL001	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B2
SRC0003-B0001-REC006	high	Fania official shop product page: release='Siembra', track='B3', raw_track='Dime'	track_of_release	SRC0003-B0001-REL001	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B3
SRC0003-B0001-REC007	high	Fania official shop product page: release='Siembra', track='B4', raw_track='Siembra'	track_of_release	SRC0003-B0001-REL001	staged_for_review	SRC0003	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B4
SRC0003-B0001-REC008	high	Fania official shop product page: release='Celia & Johnny', track='A1', raw_track='Quimbara'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A1
SRC0003-B0001-REC009	high	Fania official shop product page: release='Celia & Johnny', track='A2', raw_track='Toro Mata'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A2
SRC0003-B0001-REC010	high	Fania official shop product page: release='Celia & Johnny', track='A3', raw_track='Vieja Luna'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A3
SRC0003-B0001-REC011	high	Fania official shop product page: release='Celia & Johnny', track='A4', raw_track='El Paso del Mulo'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A4
SRC0003-B0001-REC012	high	Fania official shop product page: release='Celia & Johnny', track='A5', raw_track='Tengo el Idde'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A5
SRC0003-B0001-REC013	high	Fania official shop product page: release='Celia & Johnny', track='B1', raw_track='Lo Tuyo es Mental'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B1
SRC0003-B0001-REC014	high	Fania official shop product page: release='Celia & Johnny', track='B2', raw_track='Canto a la Habana'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B2
SRC0003-B0001-REC015	high	Fania official shop product page: release='Celia & Johnny', track='B3', raw_track='Ño Mercedes'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B3
SRC0003-B0001-REC016	high	Fania official shop product page: release='Celia & Johnny', track='B4', raw_track='El Tumbao y Celia'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B4
SRC0003-B0001-REC017	high	Fania official shop product page: release='Celia & Johnny', track='B5', raw_track='El Pregón del Pescador'	track_of_release	SRC0003-B0001-REL002	staged_for_review	SRC0003	https://fania.com/products/celia-johnny-celia-johnny-lp#track-B5
SRC0003-B0001-REC018	high	Fania official shop product page: release='Live At Yankee Stadium Vol. 1', track='A1', raw_track='Que Rico Suena Mi Tambor'	track_of_release	SRC0003-B0001-REL003	staged_for_review	SRC0003	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp#track-A1
