batch_recording_id	batch_song_id	relationship_type	source_id	source_reference	evidence_text	confidence	review_status
SRC0002-B0001-REC001	SRC0002-B0001-SONG001	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='1', raw_track='Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero', reference='202450'	high	staged_for_review
SRC0002-B0001-REC002	SRC0002-B0001-SONG002	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='2', raw_track='Perdona Si Te Ofendo | The Latin Brothers', reference='202450'	high	staged_for_review
SRC0002-B0001-REC003	SRC0002-B0001-SONG003	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A3	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='3', raw_track='Desorden # 1 | VEBA', reference='202450'	high	staged_for_review
SRC0002-B0001-REC004	SRC0002-B0001-SONG004	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A4	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='4', raw_track='El Arrebato | AEME', reference='202450'	high	staged_for_review
SRC0002-B0001-REC005	SRC0002-B0001-SONG005	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A5	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='5', raw_track='Enamorao | La Sonora Dinamita', reference='202450'	high	staged_for_review
SRC0002-B0001-REC006	SRC0002-B0001-SONG006	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A6	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='6', raw_track='Nadie Se Muere | Los Corraleros De Majagual', reference='202450'	high	staged_for_review
SRC0002-B0001-REC007	SRC0002-B0001-SONG007	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A7	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='7', raw_track='Arrocito En Bajo | Los Cumbia Stars', reference='202450'	high	staged_for_review
SRC0002-B0001-REC008	SRC0002-B0001-SONG008	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='1', raw_track='Los Gaiteros | Esparragoza', reference='202450'	high	staged_for_review
SRC0002-B0001-REC009	SRC0002-B0001-SONG009	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='2', raw_track='Costeo | Yandar Y Yostin, J Kalder', reference='202450'	high	staged_for_review
SRC0002-B0001-REC010	SRC0002-B0001-SONG010	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B3	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='3', raw_track='Alegría Y Amor | Los 50 De Joselito', reference='202450'	high	staged_for_review
SRC0002-B0001-REC011	SRC0002-B0001-SONG011	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B4	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='4', raw_track='Newyorquina Chimba | Santibel', reference='202450'	high	staged_for_review
SRC0002-B0001-REC012	SRC0002-B0001-SONG012	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B5	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='5', raw_track='Cajita De Cumbia | Afrosound', reference='202450'	high	staged_for_review
SRC0002-B0001-REC013	SRC0002-B0001-SONG013	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B6	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='6', raw_track='Tributo A Los Titanes | Los Conquistadores De La Salsa, Los Titanes', reference='202450'	high	staged_for_review
SRC0002-B0001-REC014	SRC0002-B0001-SONG014	track_title_match	SRC0002	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B7	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='7', raw_track='Potra | Chesca, Maldy', reference='202450'	high	staged_for_review
