artist_candidate_id	batch_recording_id	confidence	evidence_text	raw_artist_text	relationship_type	review_status	source_id	source_reference
SRC0003-B0001-ART009	SRC0003-B0001-REC028	high	Fania official shop product page: release='Cosa Nuestra', track='A1', raw_track='Che Che Colé'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-A1
SRC0003-B0001-ART001	SRC0003-B0001-REC029	high	Fania official shop product page: release='Cosa Nuestra', track='A2', raw_track='No Me Llores Más'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-A2
SRC0003-B0001-ART009	SRC0003-B0001-REC029	high	Fania official shop product page: release='Cosa Nuestra', track='A2', raw_track='No Me Llores Más'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-A2
SRC0003-B0001-ART001	SRC0003-B0001-REC030	high	Fania official shop product page: release='Cosa Nuestra', track='A3', raw_track='Ausencia'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-A3
SRC0003-B0001-ART009	SRC0003-B0001-REC030	high	Fania official shop product page: release='Cosa Nuestra', track='A3', raw_track='Ausencia'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-A3
SRC0003-B0001-ART001	SRC0003-B0001-REC031	high	Fania official shop product page: release='Cosa Nuestra', track='A4', raw_track='Te Conozco'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-A4
SRC0003-B0001-ART009	SRC0003-B0001-REC031	high	Fania official shop product page: release='Cosa Nuestra', track='A4', raw_track='Te Conozco'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-A4
SRC0003-B0001-ART001	SRC0003-B0001-REC032	high	Fania official shop product page: release='Cosa Nuestra', track='B1', raw_track='Juana Peña'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B1
SRC0003-B0001-ART009	SRC0003-B0001-REC032	high	Fania official shop product page: release='Cosa Nuestra', track='B1', raw_track='Juana Peña'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B1
SRC0003-B0001-ART001	SRC0003-B0001-REC033	high	Fania official shop product page: release='Cosa Nuestra', track='B2', raw_track='Sonero Mayor'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B2
