batch_recording_id	artist_candidate_id	raw_artist_text	relationship_type	source_id	source_reference	evidence_text	confidence	review_status
SRC0002-B0002-REC001	SRC0002-B0002-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A1	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='1', raw_track='Tanto Que No Aguanto', reference='202446'	high	staged_for_review
SRC0002-B0002-REC002	SRC0002-B0002-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A2	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='2', raw_track='Amapola | Feat. Papaya Dada (Ecuador)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC002	SRC0002-B0002-ART002	Papaya Dada	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A2	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='2', raw_track='Amapola | Feat. Papaya Dada (Ecuador)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC003	SRC0002-B0002-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A3	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='3', raw_track='Mi Cocha Pechocha | Feat. Los Mirlos (Perú)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC003	SRC0002-B0002-ART003	Los Mirlos	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A3	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='3', raw_track='Mi Cocha Pechocha | Feat. Los Mirlos (Perú)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC004	SRC0002-B0002-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A4	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='4', raw_track='Sonidero | Feat. La Ronda Bogotá (México)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC004	SRC0002-B0002-ART004	La Ronda Bogotá	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A4	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='4', raw_track='Sonidero | Feat. La Ronda Bogotá (México)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC005	SRC0002-B0002-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A5	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='5', raw_track='La Canoa Se Va | Feat. Pascual Ilabaca (Chile)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC005	SRC0002-B0002-ART005	Pascual Ilabaca	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A5	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='A', track='5', raw_track='La Canoa Se Va | Feat. Pascual Ilabaca (Chile)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC006	SRC0002-B0002-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B1	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='1', raw_track='Raza | Feat. C4 Trío (Venezuela)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC006	SRC0002-B0002-ART006	C4 Trío	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B1	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='1', raw_track='Raza | Feat. C4 Trío (Venezuela)', reference='202446'	high	staged_for_review
SRC0002-B0002-REC007	SRC0002-B0002-ART001	Los Cumbia Stars	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B2	Discos Fuentes shop product page: release='La Cumbia Une a Latinamérica', interpreter='Los Cumbia Stars', side='B', track='2', raw_track='Wepa | Feat. Onda Sabanera (Argentina)', reference='202446'	high	staged_for_review
