recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC005820	Franqueza Cruel	SONG004387		PER000333		REL000028	LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REC005821	Eso Es El Guaguancó	SONG004388		PER000333		REL000028	LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REC005822	Mano Caliente	SONG004389		PER000333		REL000028	LBL000005				SRC0003	high	approved	2026-06-17	2026-06-17
REC005823	Pienso En Ti	SONG004390		PER000333		REL000028	LBL000005				SRC0003	medium	approved	2026-06-17	2026-06-17
REC005824	Medianoche Y Sol	SONG004391		PER000333		REL000028	LBL000005				SRC0003	medium	approved	2026-06-17	2026-06-17
REC005825	Poema De Otoño	SONG004392		PER000333		REL000028	LBL000005				SRC0003	medium	approved	2026-06-17	2026-06-17
