release_title	status	title
Acid	MATCH	A Deeper Shade Of Soul
Acid	MATCH	Acid
Acid	MATCH	El Nuevo Barretto
Acid	MATCH	Espíritu Libre
Acid	MATCH	Mercy, Mercy Baby
Acid	MATCH	Sola Te Dejaré
Acid	MATCH	Soul Drummers
Acid	MATCH	The Teacher Of Love
Salsa	MATCH	El Paso De Encarnacion
Salsa	MATCH	La Cartera
Salsa	MATCH	No Hay Amigo
Salsa	MATCH	No Quiero
Salsa	MATCH	Popo Pa' Mi
