metric	count
artist_not_matched_total	255
recovery_ready	155
entity_needed	100
ready_Rodolfo Aicardi	105
ready_Helenita Vargas	10
ready_La Sonora Matancera	10
ready_Joe Arroyo	10
ready_Toño Fuentes	10
ready_Pastor López	10
needed_Varios Artistas	90
needed_Varios Intérpretes	10
