unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	artist_entity_type	matched_performer_id	matched_group_id	track_number_in_source_extract	candidate_title	source_tracklist_status	source_extract_method	existing_recording_id	existing_song_id	candidate_status	review_reason	current_song_id	current_recording_id	recalculated_status
UNIT0113-02-002	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			2	Señor	partial_10_of_15	description_tab	REC005611	SONG004261	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004261	REC005611	already_matched_current_authority
UNIT0113-02-003	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			3	No Te Pido Más	partial_10_of_15	description_tab	REC005612	SONG004262	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004262	REC005612	already_matched_current_authority
UNIT0113-02-004	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			4	Castiga Tirano	partial_10_of_15	description_tab	REC005613	SONG004263	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004263	REC005613	already_matched_current_authority
UNIT0113-02-005	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			5	Señora	partial_10_of_15	description_tab	REC004666;REC005614	SONG003498	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG003498	REC004666;REC005614	already_matched_current_authority
UNIT0113-02-006	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			6	Mal Hombre	partial_10_of_15	description_tab	REC003167;REC005615	SONG002330	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG002330	REC003167;REC005615	already_matched_current_authority
UNIT0113-02-007	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			7	Propiedad Privada	partial_10_of_15	description_tab	REC005616	SONG004264	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004264	REC005616	already_matched_current_authority
UNIT0113-02-008	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			8	La Hija del Penal	partial_10_of_15	description_tab	REC005617	SONG004265	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004265	REC005617	already_matched_current_authority
UNIT0113-02-009	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			9	Me la Robaste	partial_10_of_15	description_tab	REC005618	SONG004266	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004266	REC005618	already_matched_current_authority
UNIT0113-02-010	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	performer			10	Nos Estorbó la Ropa	partial_10_of_15	description_tab	REC005619	SONG004267	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004267	REC005619	already_matched_current_authority
UNIT0113-03-001	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			1	El Sofá	partial_10_of_15	description_tab	REC005550	SONG004207	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004207	REC005550	already_matched_current_authority
