status	title
ADD	El Todopoderoso
ADD	Emborrachame de Amor
ADD	Mi Gente
ADD	Mucho Amor
ADD	Paraíso de Dulzura
ADD	Rompe Saragüey
ADD	Tus Ojos
ADD	Un Amor de la Calle
