metric	count
ready_input	155
safe_primary_updates	39
ambiguous_recording_id_review	11
missing_recording_id_review	105
safe_Joe Arroyo	10
safe_Helenita Vargas	8
safe_La Sonora Matancera	8
safe_Pastor López	7
safe_Toño Fuentes	6
ambiguous_Toño Fuentes	4
ambiguous_Pastor López	3
ambiguous_Helenita Vargas	2
ambiguous_La Sonora Matancera	2
missing_Rodolfo Aicardi	105
