recording_id	group_id	role	source_id	confidence	review_status
REC003120	GRP0230	primary_group	SRC0001	medium-high	staged
REC003140	GRP0211	primary_group	SRC0001	medium-high	staged
REC003141	GRP0225	primary_group	SRC0001	medium-high	staged
REC003154	GRP0211	primary_group	SRC0001	medium-high	staged
REC003195	GRP0215	primary_group	SRC0001	medium-high	staged
REC003196	GRP0243	primary_group	SRC0001	medium-high	staged
REC003197	GRP0243	primary_group	SRC0001	medium-high	staged
REC003198	GRP0243	primary_group	SRC0001	medium-high	staged
REC003206	GRP0219	primary_group	SRC0001	medium-high	staged
REC003217	GRP0237	primary_group	SRC0001	medium-high	staged
REC003225	GRP0236	primary_group	SRC0001	medium-high	staged
REC003296	GRP0224	primary_group	SRC0001	medium-high	staged
REC003327	GRP0211	primary_group	SRC0001	medium-high	staged
REC003433	GRP0237	primary_group	SRC0001	medium-high	staged
REC003436	GRP0236	primary_group	SRC0001	medium-high	staged
REC003524	GRP0228	primary_group	SRC0001	medium-high	staged
REC003547	GRP0211	primary_group	SRC0001	medium-high	staged
REC003561	GRP0227	primary_group	SRC0001	medium-high	staged
REC003562	GRP0244	primary_group	SRC0001	medium-high	staged
REC003563	GRP0227	primary_group	SRC0001	medium-high	staged
REC003564	GRP0245	primary_group	SRC0001	medium-high	staged
REC003565	GRP0244	primary_group	SRC0001	medium-high	staged
REC003569	GRP0205	primary_group	SRC0001	medium-high	staged
REC003605	GRP0213	primary_group	SRC0001	medium-high	staged
REC003608	GRP0207	primary_group	SRC0001	medium-high	staged
REC003633	GRP0211	primary_group	SRC0001	medium-high	staged
REC003654	GRP0211	primary_group	SRC0001	medium-high	staged
REC003711	GRP0221	primary_group	SRC0001	medium-high	staged
REC003730	GRP0211	primary_group	SRC0001	medium-high	staged
REC003767	GRP0223	primary_group	SRC0001	medium-high	staged
REC003798	GRP0219	primary_group	SRC0001	medium-high	staged
REC003858	GRP0236	primary_group	SRC0001	medium-high	staged
REC003986	GRP0240	primary_group	SRC0001	medium-high	staged
REC004006	GRP0216	primary_group	SRC0001	medium-high	staged
REC004010	GRP0211	primary_group	SRC0001	medium-high	staged
REC004056	GRP0234	primary_group	SRC0001	medium-high	staged
REC004190	GRP0211	primary_group	SRC0001	medium-high	staged
REC004221	GRP0211	primary_group	SRC0001	medium-high	staged
REC004262	GRP0204	primary_group	SRC0001	medium-high	staged
REC004295	GRP0211	primary_group	SRC0001	medium-high	staged
