unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method
UNIT0113-02-001	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	María de los Guardias	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005610	SONG004260				partial_10_of_15	description_tab
UNIT0113-02-002	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	Señor	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005611	SONG004261				partial_10_of_15	description_tab
UNIT0113-02-003	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	No Te Pido Más	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005612	SONG004262				partial_10_of_15	description_tab
UNIT0113-02-004	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	Castiga Tirano	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005613	SONG004263				partial_10_of_15	description_tab
UNIT0113-02-005	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	Señora	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC004666;REC005614	SONG003498				partial_10_of_15	description_tab
UNIT0113-02-006	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	Mal Hombre	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC003167;REC005615	SONG002330				partial_10_of_15	description_tab
UNIT0113-02-007	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	Propiedad Privada	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005616	SONG004264				partial_10_of_15	description_tab
UNIT0113-02-008	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	La Hija del Penal	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005617	SONG004265				partial_10_of_15	description_tab
UNIT0113-02-009	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	Me la Robaste	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005618	SONG004266				partial_10_of_15	description_tab
UNIT0113-02-010	SRC0002	2	USB - Colección 100 Exitos | Helenita Vargas	USB - Colección 100 Exitos | Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	Helenita Vargas	Nos Estorbó la Ropa	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority	REC005619	SONG004267				partial_10_of_15	description_tab
UNIT0113-03-001	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	El Sofá	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005550	SONG004207			REL000005	partial_10_of_15	description_tab
UNIT0113-03-002	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	Quién Será	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC004413;REC004414;REC005551	SONG003305			REL000005	partial_10_of_15	description_tab
UNIT0113-03-003	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	Burundanga	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005552	SONG004208			REL000005	partial_10_of_15	description_tab
UNIT0113-03-004	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	Todo Me Gusta de Ti	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005553	SONG004209			REL000005	partial_10_of_15	description_tab
UNIT0113-03-005	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	El Mambo es Universal	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005554	SONG004210			REL000005	partial_10_of_15	description_tab
UNIT0113-03-006	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	Cuando Tú Seas Mía	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005555	SONG004211			REL000005	partial_10_of_15	description_tab
UNIT0113-03-007	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	Oye Mima	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005556	SONG004212			REL000005	partial_10_of_15	description_tab
UNIT0113-03-008	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	Desesperación	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005557	SONG004213			REL000005	partial_10_of_15	description_tab
UNIT0113-03-009	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	Quedé Zaina	duplicate	existing_authority_title_match;partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority	REC005558	SONG004214			REL000005	partial_10_of_15	description_tab
