unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status
UNIT0113-08-003	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Te Llevaré – Lisandro Meza y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-08-004	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Celos de Amor – Armando Hernández con el Combo Caribe			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-08-005	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Esta Noche es Mía – Alfredo Gutiérrez y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-08-006	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Mata E Caña – Calixto Ochoa y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-08-007	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Entre Rejas – Lisandro Meza y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-08-008	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	La Zenaida – Armando Hernández con el Combo Caribe			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-08-009	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Dos Mujeres – Alfredo Gutiérrez y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-08-010	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Los Sabanales – Los Corraleros de Majagual			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-001	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	La Sombra de Tu Sonrisa - Pacho Galán y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-002	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Santo Domingo - Los Cumbiamberos de Pacheco			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-003	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	El Toro Miura - Los Corraleros de Majagual			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-004	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Cumbia en Do Menor - Lito Barrientos y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-005	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	El Tirabuzón - Clímaco Sarmiento y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-006	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	La Morena Encarnación - Los Corraleros de Majagual			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-007	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	La Ñeca - Pedro Laza y Sus Pelayeros			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-008	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Cumbia Cienaguera - Conjunto Típico Vallenato			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-009	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	En la Madrugá - Pacho Galán y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-09-010	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Cumbia Sampuesana - Conjunto Típico Vallenato			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-001	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	El Barquito	REC005650	SONG004291	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-002	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Chivita	REC005651	SONG004292	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-003	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Los Diez Perritos	REC005652	SONG004293	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-004	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	El Cucú	REC005653	SONG004294	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-005	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Gallinita Josefina	REC005654	SONG004295	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-006	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Los Pollitos Dicen	REC005655	SONG004296	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-007	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Arriba Juan	REC005656	SONG004297	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-008	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Mar	REC005657	SONG004298	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-009	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Pulgarcito	REC005658	SONG004299	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-10-010	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Cucaracha	REC002527;REC002528;REC005659	SONG001882	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-001	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Echele Agua a la Sopa - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-002	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	El Enredo - Joaquín Bedoya y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-003	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	El Duende Alegre - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-004	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	La Encomienda - Agustín Bedoya y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-005	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	La Dulce Toma - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-006	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	La Boquitrompona - El Manicomio de Vargasvil			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-007	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Que lo DIga Ella - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-008	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Las Piponchas - Agustín Bedoya y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-009	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Ya Voy Toño - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-11-010	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Mi Novia de Malas - Los Integrados			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-001	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Feliz Nochebuena / Los Hispanos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
