song_id	canonical_song_title	alternate_titles	composer	lyricist	country	language	source_id	confidence	review_status	created_at	updated_at
SONG004454	Vamos a Reír un Poco						SRC0003	high	approved_title_candidate	2026-06-17	2026-06-17
SONG004455	De Ti Depende						SRC0003	high	approved_title_candidate	2026-06-17	2026-06-17
SONG004456	Periódico de Ayer						SRC0003	high	approved_title_candidate	2026-06-17	2026-06-17
SONG004457	Tanto Como Ayer						SRC0003	high	approved_title_candidate	2026-06-17	2026-06-17
SONG004458	Hacha y Machete						SRC0003	high	approved_title_candidate	2026-06-17	2026-06-17
SONG004459	Felices Horas						SRC0003	high	approved_title_candidate	2026-06-17	2026-06-17
SONG004460	Mentira						SRC0003	high	approved_title_candidate	2026-06-17	2026-06-17
