release_id	canonical_release_title	release_type	label_id	catalog_number	release_year	country	source_id	confidence	review_status	created_at	updated_at
REL000036	Acid		LBL000005		1968		SRC0003	high	approved	2026-06-17	2026-06-17
REL000037	Salsa		LBL000005		1974		SRC0003	high	approved	2026-06-17	2026-06-17
