song_id	canonical_song_title	alternate_titles	composer	lyricist	country	language	source_id	confidence	review_status	created_at	updated_at
SONG000001	Pá Congrí				Cuba	Spanish	SRC0003	high	approved	2026-06-16	2026-06-16
SONG000002	Coquito Acaramelado				Cuba	Spanish	SRC0003	high	approved	2026-06-16	2026-06-16
SONG000003	!Ay! No No						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000004	15 De Septiembre						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000005	A Callarse						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000006	A Donde Iran						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000007	A Grito Abierto						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000008	A Huarachazo Limpio						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000009	A La Guerra Me Llevan						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000010	A La Hora Del Rosario						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000011	A La Luz De Los Cocuyos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000012	A La Mala						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000013	A La Orilla De Un Palmar						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000014	A La Orilla Del Mar						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000015	A Los Amigos Que Tengo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000016	A Los Cuatro Vientos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000017	A Mano Estamos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000018	A Mano Quedamos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000019	A Medias De La Noche						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000020	A Mi Manera - My Way						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000021	A Mi No Me Interesa						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000022	A Orillas Del Papaloapan						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000023	A Pedazos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000024	A Poco No						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000025	A Prision Perpetua						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000026	A Punto De Gritar						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000027	A Punto De Llorar						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000028	A Puño Limpio						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000029	A Rebozasos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000030	A Rienda Suelta						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000031	A San Pedro						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000032	A Solas Contigo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000033	A Su Salud						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000034	A Ti Que						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000035	A Todo Dar						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000036	A Traves De Mi Llanto						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000037	A Un Corazón						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000038	A Una Ola						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000039	A Venezuela						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000040	A Ver Que Pasa						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000041	Abranse Que Vengo Herido						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000042	Abre Tus Ojos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000043	Aburrido Me Voy						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000044	Aca Nomas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000045	Acabaste!						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000046	Acariciame						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000047	Aceptame						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000048	Aconsejala						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000049	Acuerdate						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000050	Acuerdate De Mi						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000051	Adelaida						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000052	Adelante						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000053	Adelita						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000054	Adios						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000055	Adios A Mi Novia						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000056	Adios Adios Adios						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000057	Adios Angel Mio						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000058	Adios Corazon						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000059	Adios Lucrecia						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000060	Adios Mariquita Linda						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000061	Adios Mi Amor						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000062	Adios Mi Chaparrita						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000063	Adios Mi Chatita						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000064	Adios Mi Juan						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000065	Adios Mis Chorreadas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000066	Adios Mujer						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000067	Adios Nos Dijimos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000068	Adios Sylvia						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000069	Adios Vida Mia						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000070	Adios Y Bienvenida						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000071	Adios Y Buena Suerte						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000072	Adios, Adios, Adios						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000073	Adivinanza						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000074	Adiós En El Puerto						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000075	Adolorido						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000076	Adorado Tormento						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000077	Adrede						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000078	Agarro Parejo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000079	Agua Nieve						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000080	Agua!						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000081	Aguanta Corazón						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000082	Aguila Real						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000083	Agustina						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000084	Ah Que Maria						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000085	Ah! Pa’ Pulguita						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000086	Ah! Que Diantre De Maria						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000087	Ahi Lo Trais						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000088	Ahora						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000089	Ahora Mas Que Nunca						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000090	Ahora No Eres Mia						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000091	Ahora Que Me Siento Nylon						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000092	Ahora Que Traigo Ganas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000093	Ahora Si Va En Serio Mi Amor						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000094	Ahora Soy Rico						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000095	Ahora Tengo Un Amor						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000096	Ahora Y Siempre						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000097	Al Calor De Las Copas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000098	Al Claro De La Luna						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000099	Al Compas Del Tuñare						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000100	Al Contado						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000101	Al Derecho Y Al Reves						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000102	Al Llegar Diciembre						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000103	Al Llegar Las Gaviotas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000104	Al Mirarme En Tus Ojos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000105	Al Morir La Tarde						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000106	Al Patriotico 201						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000107	Al Pie De La Montaña						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000108	Al Pie De Tu Reja						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000109	Al Pie De Un Crucifijo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000110	Al Sur De La Frontera						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000111	Al Sur Del Bravo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000112	Al Tiempo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000113	Al Ver						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000114	Alas De Plata						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000115	Alazan Del 56 Regimiento						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000116	Albricias						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000117	Albur						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000118	Albur De Amor						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000119	Alegres Michoacanas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000120	Alegrias Del Charro						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000121	Alejandra						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000122	Alevantate						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000123	Alfonso Ramirez						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000124	Algo Se Me Va						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000125	Algun Dia						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000126	Alguna Vez						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000127	Alitas Rotas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000128	Alla En El Rancho Grande						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000129	Alla Por La Madrugada						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000130	Alla Tu						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000131	Allá En El Rancho Grande						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000132	Allí Viene Martín Corona						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000133	Alma Angelina						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000134	Alma De Acero						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000135	Alma De Cristal						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000136	Alma De Mi Grandota						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000137	Alma Herida						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000138	Alma Hidalguense						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000139	Alma Jarocha						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000140	Alma Llanera						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000141	Alma Mia De Mi Grandota						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000142	Alma Sin Alma						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000143	Alma Torera						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000144	Alma Vacia						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000145	Almas Perdidas						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000146	Alondra						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000147	Also Se Me Va						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000148	Altivez						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000149	Amame Guajira						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000150	Amandonos Y Besandonos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000151	Amandonos, Amandonos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000152	Amanecer Guajiro						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000153	Amaneci En Tus Brazos						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000154	Amanezco Sin Ti						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000155	Amapola						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000156	Amapolita						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000157	Amar Y Vivir						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000158	Amarga Despedida						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000159	Amargado De La Vida						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000160	Amargo Recuerdo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000161	Amargura						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000162	Ambicion De Gloria						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000163	Amemonos love						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000164	Amiga Ocasional						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000165	Amigablemente						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000166	Amigo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000167	Amigo - Bajo El Sol A La Deriva						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000168	Amigo Amigo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000169	Amigo Pulque						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000170	Amigo Vendaval						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
SONG000171	Amigos Me Acuerdo						SRC0001	medium	approved_title_candidate	2026-06-16	2026-06-16
