recording_id	canonical_recording_title	canonical_song_id	label_id	source_id	recording_year	country	language	gap
REC000975	Corrido Del Potrero Del Llano	SONG000748	LBL000003	SRC0001				artist
REC000977	Corrido Luis Coronado	SONG000750	LBL000003	SRC0001				artist
REC000979	Corrido Villista	SONG000752	LBL000003	SRC0001				artist
REC001024	Cuando Nadie Te Quiera	SONG000784	LBL000003	SRC0001				artist
REC001034	Cuando Salgo A Los Campos	SONG000788	LBL000003	SRC0001				artist
REC001072	Cuatro Puñales	SONG000816	LBL000003	SRC0001				artist
REC001073	Cuatro Vidas	SONG000817	LBL000003	SRC0001				artist
REC001076	Cuatro Vidas	SONG000817	LBL000003	SRC0001				artist
REC001078	Cucurrucucu Paloma	SONG000818	LBL000003	SRC0001				artist
REC001083	Cucurucucu Paloma	SONG000819	LBL000003	SRC0001				artist
REC001095	Cumparsita	SONG000830	LBL000003	SRC0001				artist
REC001107	Danza De Tata Juriata Y Nana Cutzi	SONG000840	LBL000003	SRC0001				artist
REC001120	De Cuando En Cuando	SONG000851	LBL000003	SRC0001				artist
REC001172	Derecho Viejo	SONG000889	LBL000003	SRC0001				artist
REC001189	Desolación	SONG000904	LBL000003	SRC0001				artist
REC001196	Desprecio	SONG000910	LBL000003	SRC0001				artist
REC001207	Desvelo De Amor	SONG000917	LBL000003	SRC0001				artist
REC001246	Dios Nunca Muere	SONG000951	LBL000003	SRC0001				artist
REC001253	Distintos Caminos	SONG000955	LBL000003	SRC0001				artist
REC001263	Donde Encontraras	SONG000965	LBL000003	SRC0001				artist
REC001267	Donde Estas Juventud	SONG000969	LBL000003	SRC0001				artist
REC001271	Donde Me La Pinten Brinco	SONG000972	LBL000003	SRC0001				artist
REC001276	Dos Arbolitos	SONG000976	LBL000003	SRC0001				artist
REC001283	Dos Corazones	SONG000980	LBL000003	SRC0001				artist
REC001286	Dos Cosas Distintas	SONG000982	LBL000003	SRC0001				artist
REC001294	Dos Mariposas	SONG000989	LBL000003	SRC0001				artist
REC001296	Dos Pajarillos	SONG000991	LBL000003	SRC0001				artist
REC001297	Dos Palomas Al Volar	SONG000992	LBL000003	SRC0001				artist
REC001298	Dos Palomas Al Volar	SONG000992	LBL000003	SRC0001				artist
REC001299	Dos Seres Que Se Aman	SONG000993	LBL000003	SRC0001				artist
REC001309	Dulce Imagen	SONG001002	LBL000003	SRC0001				artist
REC001313	Duro A La Pachanga	SONG001005	LBL000003	SRC0001				artist
REC001323	Ecucha Mi Canta	SONG001012	LBL000003	SRC0001				artist
REC001325	El Abandonado	SONG001013	LBL000003	SRC0001				artist
REC001328	El Abrojo	SONG001014	LBL000003	SRC0001				artist
REC001349	El Alardoso	SONG001027	LBL000003	SRC0001				artist
REC001361	El Anillo Grabado	SONG001035	LBL000003	SRC0001				artist
REC001368	El Arrepentido	SONG001040	LBL000003	SRC0001				artist
REC001377	El Bandolero	SONG001048	LBL000003	SRC0001				artist
REC001378	El Bandolero Mexicano	SONG001049	LBL000003	SRC0001				artist
REC001394	El Borrachito	SONG001062	LBL000003	SRC0001				artist
REC001402	El Bracero	SONG001068	LBL000003	SRC0001				artist
REC001404	El Bravero	SONG001070	LBL000003	SRC0001				artist
REC001415	El Caballo Bayo	SONG001079	LBL000003	SRC0001				artist
REC001416	El Caballo Bayo	SONG001079	LBL000003	SRC0001				artist
REC001425	El Caballo Ensillado	SONG001081	LBL000003	SRC0001				artist
REC001456	El Carro Del Sol	SONG001100	LBL000003	SRC0001				artist
REC001471	El Charro Negro	SONG001111	LBL000003	SRC0001				artist
REC001476	El Chinito De La Habana	SONG001116	LBL000003	SRC0001				artist
REC001477	El Chivo	SONG001117	LBL000003	SRC0001				artist
REC001494	El Compadre De Tololoche	SONG001130	LBL000003	SRC0001				artist
REC001504	El Cordobes	SONG001138	LBL000003	SRC0001				artist
REC001506	El Corrido De Felipe Angeles	SONG001140	LBL000003	SRC0001				artist
REC001507	El Corrido De Martin Corona	SONG001141	LBL000003	SRC0001				artist
REC001508	El Corrido De Montana	SONG001142	LBL000003	SRC0001				artist
REC001509	El Corrido De Nayarit	SONG001143	LBL000003	SRC0001				artist
REC001510	El Corrido De Nayarit	SONG001143	LBL000003	SRC0001				artist
REC001511	El Corrido De Pedro Infante	SONG001144	LBL000003	SRC0001				artist
REC001513	El Corrido Del Chamizal	SONG001146	LBL000003	SRC0001				artist
REC001515	El Corrido Martin Toscano	SONG001148	LBL000003	SRC0001				artist
REC001522	El Crimen De Cuajimalpa	SONG001153	LBL000003	SRC0001				artist
REC001523	El Crucifijo De Piedra	SONG001154	LBL000003	SRC0001				artist
REC001531	El Cuatro Lenguas	SONG001158	LBL000003	SRC0001				artist
REC001546	El Descalzo	SONG001164	LBL000003	SRC0001				artist
REC001552	El Dia De San Juan	SONG001170	LBL000003	SRC0001				artist
REC001556	El Dia Que Me Quieras	SONG001172	LBL000003	SRC0001				artist
REC001560	El Diablo Y Yo	SONG001175	LBL000003	SRC0001				artist
REC001576	El Encuentro	SONG001188	LBL000003	SRC0001				artist
REC001583	El Ferrocarril	SONG001194	LBL000003	SRC0001				artist
REC001626	El Güero	SONG001226	LBL000003	SRC0001				artist
REC001634	El Hijo De Juan Charrasqueado	SONG001231	LBL000003	SRC0001				artist
REC001637	El Hijo Desobediente	SONG001234	LBL000003	SRC0001				artist
REC001649	El Huerfano	SONG001242	LBL000003	SRC0001				artist
REC001669	El Jilguerillo	SONG001255	LBL000003	SRC0001				artist
REC001685	El Limpiabotas	SONG001267	LBL000003	SRC0001				artist
REC001694	El Mamey	SONG001274	LBL000003	SRC0001				artist
REC001695	El Manicero	SONG001275	LBL000003	SRC0001				artist
REC001702	El Marranito	SONG001280	LBL000003	SRC0001				artist
REC001703	El Martir Azteca	SONG001281	LBL000003	SRC0001				artist
REC001704	El Mas Grande	SONG001282	LBL000003	SRC0001				artist
REC001711	El Minero	SONG001287	LBL000003	SRC0001				artist
REC001722	El Mosquito Americano	SONG001295	LBL000003	SRC0001				artist
REC001737	El Novillo Despuntado	SONG001304	LBL000003	SRC0001				artist
REC001740	El Nuevo Mezquite	SONG001307	LBL000003	SRC0001				artist
REC001743	El Otro Lado	SONG001310	LBL000003	SRC0001				artist
REC001744	El Pachuco Bailarin	SONG001311	LBL000003	SRC0001				artist
REC001769	El Pastor	SONG001329	LBL000003	SRC0001				artist
REC001773	El Peine	SONG001333	LBL000003	SRC0001				artist
REC001775	El Perdido	SONG001335	LBL000003	SRC0001				artist
REC001790	El Potrancon	SONG001346	LBL000003	SRC0001				artist
