song_id	performer_id	relationship_type	source_id	confidence	review_status
SONG001035	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001040	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001048	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001049	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001062	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001068	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001070	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001079	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001079	PER000316	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001081	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001111	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001116	PER000301	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001117	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001140	PER000329	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001141	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001142	PER000319	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001143	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001144	PER000294	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001146	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001148	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001153	PER000327	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001154	PER000315	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001158	PER000308	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001164	PER000319	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001170	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001172	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001175	PER000302	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001194	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001226	PER000307	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001231	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001234	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001242	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001255	PER000298	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001267	PER000301	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001287	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001295	PER000302	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001307	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001310	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001333	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001335	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001346	PER000300	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001360	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001364	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001388	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001418	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001446	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001450	PER000306	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001476	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001486	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001491	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001502	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
