raw_source_id	raw_source_unit	raw_page	raw_row_in_page	source_id	source_reference	recording_path	raw_recording_title	recording_title	performer_name	composer_name	label_name	catalog_number	format	evidence_text	confidence	review_status
SRC-0010	frontera_peerless_ajax_full_0001	0	14	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-mala-11	A La Mala	A La Mala	Juanita Escoto	Alarcón Leal, Eduardo	Peerless	2609	78	Frontera Peerless AJAX row: title='A La Mala', performer='Juanita Escoto', label='Peerless', catalog='2609', format='78', path='/recordings/la-mala-11'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	15	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-orilla-de-un-palmar-21	A La Orilla De Un Palmar	A La Orilla De Un Palmar	Trio Tariacuri		Peerless	LPL-299	33	Frontera Peerless AJAX row: title='A La Orilla De Un Palmar', performer='Trio Tariacuri', label='Peerless', catalog='LPL-299', format='33', path='/recordings/la-orilla-de-un-palmar-21'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	16	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-orilla-del-mar-17	A La Orilla Del Mar	A La Orilla Del Mar	Pedro Infante	Esperón, Manuel M. - Cortazar, Ernesto E.	Peerless	5019	78	Frontera Peerless AJAX row: title='A La Orilla Del Mar', performer='Pedro Infante', label='Peerless', catalog='5019', format='78', path='/recordings/la-orilla-del-mar-17'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	17	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-orilla-del-mar-22	A La Orilla Del Mar	A La Orilla Del Mar	Pedro Infante	Esperón, Manuel M. - Cortazar, Ernesto E.	Peerless	EPIB-1	33	Frontera Peerless AJAX row: title='A La Orilla Del Mar', performer='Pedro Infante', label='Peerless', catalog='EPIB-1', format='33', path='/recordings/la-orilla-del-mar-22'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	18	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-orilla-del-mar-23	A La Orilla Del Mar	A La Orilla Del Mar	Pedro Infante	Esperón, Manuel M. - Cortazar, Ernesto E.	Peerless	M-1061	33	Frontera Peerless AJAX row: title='A La Orilla Del Mar', performer='Pedro Infante', label='Peerless', catalog='M-1061', format='33', path='/recordings/la-orilla-del-mar-23'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	19	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-orilla-del-mar-24	A La Orilla Del Mar	A La Orilla Del Mar	Pedro Infante	Esperón, Manuel M. - Cortazar, Ernesto E.	Peerless	S-1600	33	Frontera Peerless AJAX row: title='A La Orilla Del Mar', performer='Pedro Infante', label='Peerless', catalog='S-1600', format='33', path='/recordings/la-orilla-del-mar-24'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	20	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-orilla-del-mar-25	A La Orilla Del Mar	A La Orilla Del Mar	Pedro Infante	Esperón, Manuel M. - Cortazar, Ernesto E.	Peerless	MS-TV-4001-9	33	Frontera Peerless AJAX row: title='A La Orilla Del Mar', performer='Pedro Infante', label='Peerless', catalog='MS-TV-4001-9', format='33', path='/recordings/la-orilla-del-mar-25'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	21	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/la-orilla-del-mar-26	A La Orilla Del Mar	A La Orilla Del Mar	Pedro Infante	Esperón, Manuel M. - Cortazar, Ernesto E.	Peerless	TV-4001-2	33	Frontera Peerless AJAX row: title='A La Orilla Del Mar', performer='Pedro Infante', label='Peerless', catalog='TV-4001-2', format='33', path='/recordings/la-orilla-del-mar-26'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	22	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/los-amigos-que-tengo-2	A Los Amigos Que Tengo	A Los Amigos Que Tengo	Pedro Infante	Espinoza, J. A.	Peerless	4840-A	78	Frontera Peerless AJAX row: title='A Los Amigos Que Tengo', performer='Pedro Infante', label='Peerless', catalog='4840-A', format='78', path='/recordings/los-amigos-que-tengo-2'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	23	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/los-cuatro-vientos-21	A Los Cuatro Vientos	A Los Cuatro Vientos	Lola Beltran Y Trio Hnos. Michel		Peerless	4602A	78	Frontera Peerless AJAX row: title='A Los Cuatro Vientos', performer='Lola Beltran Y Trio Hnos. Michel', label='Peerless', catalog='4602A', format='78', path='/recordings/los-cuatro-vientos-21'	high	raw_extracted
