performer_id	canonical_performer_name	alternate_names	performer_type	country	primary_genre_id	source_id	confidence	review_status	created_at	updated_at
PER000338	Rodolfo Aicardi		individual			SRC0002	medium	approved	2026-06-19	2026-06-19
PER000339	Guillermo Portabales		individual			SRC0002	medium	approved	2026-06-19	2026-06-19
PER000340	Roberto Ledesma		individual			SRC0002	medium	approved	2026-06-19	2026-06-19
PER000341	Orlando Contreras		individual			SRC0002	medium	approved	2026-06-19	2026-06-19
PER000342	Bobby Cruz		individual			SRC0002	medium	approved	2026-06-19	2026-06-19
