release_title	primary_artist	recording_title
Acid	Ray Barretto	El Nuevo Barretto
Acid	Ray Barretto	Mercy, Mercy Baby
Acid	Ray Barretto	Acid
Acid	Ray Barretto	A Deeper Shade Of Soul
Acid	Ray Barretto	Soul Drummers
Acid	Ray Barretto	Sola Te Dejaré
Acid	Ray Barretto	The Teacher Of Love
Acid	Ray Barretto	Espíritu Libre
