batch_song_id	promotion_status	master_song_id	canonical_song_title_candidate	match_basis	source_id	source_name	source_url	release_candidate_id	release_title	side	track_number	source_reference	evidence_text	confidence	review_status
SRC0002-B0005-SONG012	NEW	SONG004310	Bella es la Navidad	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-2	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='2', raw_track='Bella es la Navidad'	high	staged_for_review
SRC0002-B0005-SONG013	NEW	SONG004311	En la Nochebuena	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-3	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='3', raw_track='En la Nochebuena'	high	staged_for_review
SRC0002-B0005-SONG014	NEW	SONG004312	Ron de Vinola	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-4	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='4', raw_track='Ron de Vinola'	high	staged_for_review
SRC0002-B0005-SONG015	NEW	SONG004313	El Hijo Ausente	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-5	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='5', raw_track='El Hijo Ausente'	high	staged_for_review
SRC0002-B0005-SONG016	NEW	SONG004314	Maldita Navidad	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-6	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='6', raw_track='Maldita Navidad'	high	staged_for_review
SRC0002-B0005-SONG017	NEW	SONG004315	El Pesebre	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-7	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='7', raw_track='El Pesebre'	high	staged_for_review
SRC0002-B0005-SONG018	NEW	SONG004316	Aires de Navidad	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-8	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='8', raw_track='Aires de Navidad'	high	staged_for_review
SRC0002-B0005-SONG019	MATCH_EXISTING	SONG004201	Grito Vagabundo	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-9	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='9', raw_track='Grito Vagabundo'	high	staged_for_review
SRC0002-B0005-SONG020	NEW	SONG004317	Pascua en Navidad	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre		10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/#track-10	Discos Fuentes shop product page: release='Colección 100 Exitos de Diciembre', track='10', raw_track='Pascua en Navidad'	high	staged_for_review
SRC0002-B0005-SONG021	NEW	SONG004318	Niño del Alma Mía	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/	SRC0002-B0005-REL003	Colección 100 Villancicos del Siglo		1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-villancicos-del-siglo-usb-8-gb/#track-1	Discos Fuentes shop product page: release='Colección 100 Villancicos del Siglo', track='1', raw_track='Niño del Alma Mía'	high	staged_for_review
