batch_song_id	canonical_song_title_candidate	confidence	evidence_text	master_song_id	promotion_status	raw_track_title	release_candidate_id	release_title	review_status	side	source_id	source_name	source_reference	source_url	track_number
SRC0002-B0004-SONG011	María de los Guardias	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='1', raw_track='María de los Guardias'		NEW	María de los Guardias	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	1
SRC0002-B0004-SONG012	Señor	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='2', raw_track='Señor'		NEW	Señor	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	2
SRC0002-B0004-SONG013	No Te Pido Más	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='3', raw_track='No Te Pido Más'		NEW	No Te Pido Más	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	3
SRC0002-B0004-SONG014	Castiga Tirano	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='4', raw_track='Castiga Tirano'		NEW	Castiga Tirano	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	4
SRC0002-B0004-SONG015	Señora	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='5', raw_track='Señora'	SONG003498	MATCH_EXISTING	Señora	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	5
SRC0002-B0004-SONG016	Mal Hombre	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='6', raw_track='Mal Hombre'	SONG002330	MATCH_EXISTING	Mal Hombre	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	6
SRC0002-B0004-SONG017	Propiedad Privada	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='7', raw_track='Propiedad Privada'		NEW	Propiedad Privada	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	7
SRC0002-B0004-SONG018	La Hija del Penal	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='8', raw_track='La Hija del Penal'		NEW	La Hija del Penal	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	8
SRC0002-B0004-SONG019	Me la Robaste	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='9', raw_track='Me la Robaste'		NEW	Me la Robaste	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	9
SRC0002-B0004-SONG020	Nos Estorbó la Ropa	high	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='10', raw_track='Nos Estorbó la Ropa'		NEW	Nos Estorbó la Ropa	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	10
SRC0002-B0004-SONG021	El Carretero	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='1', raw_track='El Carretero'	SONG001099	MATCH_EXISTING	El Carretero	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	1
SRC0002-B0004-SONG022	Malao de Caña	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='2', raw_track='Malao de Caña'		NEW	Malao de Caña	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	2
SRC0002-B0004-SONG023	El Que Siembra Su Maíz	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='3', raw_track='El Que Siembra Su Maíz'		NEW	El Que Siembra Su Maíz	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	3
