batch_recording_id	promotion_status	master_recording_id	recording_title	canonical_song_id	primary_group_id	primary_performer_id	release_id	label_id	match_basis	source_id	source_name	source_url	release_candidate_id	release_title	release_interpreter	release_genre	release_format	release_year	reference_number	side	track_number	global_track_number	raw_track_title	artist_text	source_reference	evidence_text	confidence	review_status
SRC0002-B0004-REC011	NEW	REC005610	María de los Guardias	SONG004260			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		1	11	María de los Guardias	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-1	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='1', raw_track='María de los Guardias'	high	staged_for_review
SRC0002-B0004-REC012	NEW	REC005611	Señor	SONG004261			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		2	12	Señor	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-2	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='2', raw_track='Señor'	high	staged_for_review
SRC0002-B0004-REC013	NEW	REC005612	No Te Pido Más	SONG004262			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		3	13	No Te Pido Más	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-3	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='3', raw_track='No Te Pido Más'	high	staged_for_review
SRC0002-B0004-REC014	NEW	REC005613	Castiga Tirano	SONG004263			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		4	14	Castiga Tirano	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-4	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='4', raw_track='Castiga Tirano'	high	staged_for_review
SRC0002-B0004-REC015	NEW	REC005614	Señora	SONG003498			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		5	15	Señora	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-5	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='5', raw_track='Señora'	high	staged_for_review
SRC0002-B0004-REC016	NEW	REC005615	Mal Hombre	SONG002330			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		6	16	Mal Hombre	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-6	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='6', raw_track='Mal Hombre'	high	staged_for_review
SRC0002-B0004-REC017	NEW	REC005616	Propiedad Privada	SONG004264			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		7	17	Propiedad Privada	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-7	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='7', raw_track='Propiedad Privada'	high	staged_for_review
SRC0002-B0004-REC018	NEW	REC005617	La Hija del Penal	SONG004265			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		8	18	La Hija del Penal	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-8	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='8', raw_track='La Hija del Penal'	high	staged_for_review
SRC0002-B0004-REC019	NEW	REC005618	Me la Robaste	SONG004266			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		9	19	Me la Robaste	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-9	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='9', raw_track='Me la Robaste'	high	staged_for_review
SRC0002-B0004-REC020	NEW	REC005619	Nos Estorbó la Ropa	SONG004267			REL000011	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/	SRC0002-B0004-REL002	Colección 100 Éxitos del Siglo | Helenita Vargas	Helenita Vargas	Tropical	USB		GE5034		10	20	Nos Estorbó la Ropa	Helenita Vargas	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-helenita-vargas/#track-10	Discos Fuentes shop product page: release='Colección 100 Éxitos del Siglo | Helenita Vargas', track='10', raw_track='Nos Estorbó la Ropa'	high	staged_for_review
