artist_candidate_id	source_id	source_name	source_url	raw_artist_text	candidate_artist_type	release_candidate_id	release_title	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-ART001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Afrosound	performer_candidate_needs_review	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Artist text appears on Discos Fuentes shop product page for release 'LP - Cumbia y Nada Más': Afrosound	medium-high	staged_for_review
SRC0002-B0003-ART002	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Fruko	performer_candidate_needs_review	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Artist text appears on Discos Fuentes shop product page for release 'LP - Cumbia y Nada Más': Fruko	medium-high	staged_for_review
SRC0002-B0003-ART003	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Chill Mafia y Ben Yart	performer_candidate_needs_review	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	Artist text appears on Discos Fuentes shop product page for release 'LP - Cumbia y Nada Más': Chill Mafia y Ben Yart	medium-high	staged_for_review
SRC0002-B0003-ART004	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Los 50 de Joselito	group_candidate	SRC0002-B0003-REL002	LP - Historia Musical	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Artist text appears on Discos Fuentes shop product page for release 'LP - Historia Musical': Los 50 de Joselito	medium-high	staged_for_review
SRC0002-B0003-ART005	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group_candidate	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de La Sonora Matancera': La Sonora Matancera	medium-high	staged_for_review
SRC0002-B0003-ART006	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Joe Arroyo	performer_candidate_needs_review	SRC0002-B0003-REL004	Colección 100 Exitos del Siglo: Joe Arroyo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos del Siglo: Joe Arroyo': Joe Arroyo	medium-high	staged_for_review
SRC0002-B0003-ART007	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	Los Corraleros de Majagual	group_candidate	SRC0002-B0003-REL005	Colección 100 Exitos de Los Corraleros de Majagual	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de Los Corraleros de Majagual': Los Corraleros de Majagual	medium-high	staged_for_review
SRC0002-B0003-ART008	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Calixto Ochoa y Su Conjunto	group_candidate	SRC0002-B0003-REL006	Colección 100 Exitos – Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos – Cuatro Grandes de la Música Tropical': Calixto Ochoa y Su Conjunto	medium-high	staged_for_review
SRC0002-B0003-ART009	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Lisandro Meza y Su Conjunto	group_candidate	SRC0002-B0003-REL006	Colección 100 Exitos – Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos – Cuatro Grandes de la Música Tropical': Lisandro Meza y Su Conjunto	medium-high	staged_for_review
SRC0002-B0003-ART010	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Armando Hernández con el Combo Caribe	group_candidate	SRC0002-B0003-REL006	Colección 100 Exitos – Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos – Cuatro Grandes de la Música Tropical': Armando Hernández con el Combo Caribe	medium-high	staged_for_review
