batch_song_id	source_id	source_name	source_url	canonical_song_title_candidate	raw_track_title	release_candidate_id	release_title	side	track_number	source_reference	evidence_text	confidence	review_status
SRC0002-B0001-SONG001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Baila Kolombia	Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	A	1	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='1', raw_track='Baila Kolombia | Los Cumbia Stars, La Delio Valdez, Yeison Landero', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG002	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Perdona Si Te Ofendo	Perdona Si Te Ofendo | The Latin Brothers	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	A	2	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='2', raw_track='Perdona Si Te Ofendo | The Latin Brothers', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG003	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Desorden # 1	Desorden # 1 | VEBA	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	A	3	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A3	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='3', raw_track='Desorden # 1 | VEBA', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG004	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	El Arrebato	El Arrebato | AEME	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	A	4	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A4	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='4', raw_track='El Arrebato | AEME', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG005	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Enamorao	Enamorao | La Sonora Dinamita	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	A	5	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A5	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='5', raw_track='Enamorao | La Sonora Dinamita', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG006	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Nadie Se Muere	Nadie Se Muere | Los Corraleros De Majagual	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	A	6	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A6	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='6', raw_track='Nadie Se Muere | Los Corraleros De Majagual', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG007	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Arrocito En Bajo	Arrocito En Bajo | Los Cumbia Stars	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	A	7	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-A7	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='A', track='7', raw_track='Arrocito En Bajo | Los Cumbia Stars', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG008	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Los Gaiteros	Los Gaiteros | Esparragoza	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	B	1	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B1	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='1', raw_track='Los Gaiteros | Esparragoza', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG009	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Costeo	Costeo | Yandar Y Yostin, J Kalder	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	B	2	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B2	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='2', raw_track='Costeo | Yandar Y Yostin, J Kalder', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG010	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Alegría Y Amor	Alegría Y Amor | Los 50 De Joselito	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	B	3	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B3	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='3', raw_track='Alegría Y Amor | Los 50 De Joselito', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG011	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Newyorquina Chimba	Newyorquina Chimba | Santibel	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	B	4	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B4	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='4', raw_track='Newyorquina Chimba | Santibel', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG012	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Cajita De Cumbia	Cajita De Cumbia | Afrosound	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	B	5	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B5	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='5', raw_track='Cajita De Cumbia | Afrosound', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG013	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Tributo A Los Titanes	Tributo A Los Titanes | Los Conquistadores De La Salsa, Los Titanes	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	B	6	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B6	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='6', raw_track='Tributo A Los Titanes | Los Conquistadores De La Salsa, Los Titanes', reference='202450'	high	staged_for_review
SRC0002-B0001-SONG014	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/	Potra	Potra | Chesca, Maldy	SRC0002-B0001-REL001	14 Cañonazos Bailables Vol 65	B	7	https://tiendadiscosfuentes.com/productos/14-canonazos-bailables/lp-14-canonazos-bailables-vol-65/#track-B7	Discos Fuentes shop product page: release='14 Cañonazos Bailables Vol 65', side='B', track='7', raw_track='Potra | Chesca, Maldy', reference='202450'	high	staged_for_review
