release_title	primary_artist	recording_title
De Ti Depende	Héctor Lavoe	Vamos a Reír un Poco
De Ti Depende	Héctor Lavoe	De Ti Depende
De Ti Depende	Héctor Lavoe	Periódico de Ayer
De Ti Depende	Héctor Lavoe	Tanto Como Ayer
De Ti Depende	Héctor Lavoe	Hacha y Machete
De Ti Depende	Héctor Lavoe	Felices Horas
De Ti Depende	Héctor Lavoe	Mentira
