release_title	primary_artist	recording_title
La Voz	Héctor Lavoe	El Todopoderoso
La Voz	Héctor Lavoe	Emborrachame de Amor
La Voz	Héctor Lavoe	Paraíso de Dulzura
La Voz	Héctor Lavoe	Un Amor de la Calle
La Voz	Héctor Lavoe	Rompe Saragüey
La Voz	Héctor Lavoe	Mucho Amor
La Voz	Héctor Lavoe	Tus Ojos
