batch_song_id	source_id	source_name	source_url	canonical_song_title_candidate	raw_track_title	release_candidate_id	release_title	side	track_number	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-SONG014	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	María Teresa	María Teresa	SRC0002-B0003-REL002	LP - Historia Musical	A	3	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A3	Discos Fuentes shop product page: release='LP - Historia Musical', track='A3', raw_track='María Teresa'	high	staged_for_review
SRC0002-B0003-SONG015	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	El Aguacero	El Aguacero	SRC0002-B0003-REL002	LP - Historia Musical	A	4	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A4	Discos Fuentes shop product page: release='LP - Historia Musical', track='A4', raw_track='El Aguacero'	high	staged_for_review
SRC0002-B0003-SONG016	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	El Ron de Vinola	El Ron de Vinola	SRC0002-B0003-REL002	LP - Historia Musical	A	5	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A5	Discos Fuentes shop product page: release='LP - Historia Musical', track='A5', raw_track='El Ron de Vinola'	high	staged_for_review
SRC0002-B0003-SONG017	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	La Pringamoza	La Pringamoza	SRC0002-B0003-REL002	LP - Historia Musical	A	6	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A6	Discos Fuentes shop product page: release='LP - Historia Musical', track='A6', raw_track='La Pringamoza'	high	staged_for_review
SRC0002-B0003-SONG018	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Grito Vagabundo	Grito Vagabundo	SRC0002-B0003-REL002	LP - Historia Musical	A	7	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-A7	Discos Fuentes shop product page: release='LP - Historia Musical', track='A7', raw_track='Grito Vagabundo'	high	staged_for_review
SRC0002-B0003-SONG019	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Las Mujeres a Mí No Me Quieren	Las Mujeres a Mí No Me Quieren	SRC0002-B0003-REL002	LP - Historia Musical	B	1	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-B1	Discos Fuentes shop product page: release='LP - Historia Musical', track='B1', raw_track='Las Mujeres a Mí No Me Quieren'	high	staged_for_review
SRC0002-B0003-SONG020	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	El Negro Picante	El Negro Picante	SRC0002-B0003-REL002	LP - Historia Musical	B	2	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-B2	Discos Fuentes shop product page: release='LP - Historia Musical', track='B2', raw_track='El Negro Picante'	high	staged_for_review
SRC0002-B0003-SONG021	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Lo Gotereros	Lo Gotereros	SRC0002-B0003-REL002	LP - Historia Musical	B	3	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-B3	Discos Fuentes shop product page: release='LP - Historia Musical', track='B3', raw_track='Lo Gotereros'	high	staged_for_review
SRC0002-B0003-SONG022	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Rosa María	Rosa María	SRC0002-B0003-REL002	LP - Historia Musical	B	4	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-B4	Discos Fuentes shop product page: release='LP - Historia Musical', track='B4', raw_track='Rosa María'	high	staged_for_review
SRC0002-B0003-SONG023	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	La Araña Picua	La Araña Picua	SRC0002-B0003-REL002	LP - Historia Musical	B	5	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-B5	Discos Fuentes shop product page: release='LP - Historia Musical', track='B5', raw_track='La Araña Picua'	high	staged_for_review
