batch_song_id	canonical_song_title_candidate	confidence	evidence_text	raw_track_title	release_candidate_id	release_title	review_status	side	source_id	source_name	source_reference	source_url	track_number
SRC0003-B0001-SONG001	Plástico	high	Fania official shop product page: release='Siembra', track='A1', raw_track='Plástico'	Plástico	SRC0003-B0001-REL001	Siembra	staged_for_review	A	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A1	https://fania.com/products/willie-colon-ruben-blades-siembra-1	1
SRC0003-B0001-SONG002	Buscando Guayaba	high	Fania official shop product page: release='Siembra', track='A2', raw_track='Buscando Guayaba'	Buscando Guayaba	SRC0003-B0001-REL001	Siembra	staged_for_review	A	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A2	https://fania.com/products/willie-colon-ruben-blades-siembra-1	2
SRC0003-B0001-SONG003	Pedro Navaja	high	Fania official shop product page: release='Siembra', track='A3', raw_track='Pedro Navaja'	Pedro Navaja	SRC0003-B0001-REL001	Siembra	staged_for_review	A	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-A3	https://fania.com/products/willie-colon-ruben-blades-siembra-1	3
SRC0003-B0001-SONG004	María Lionza	high	Fania official shop product page: release='Siembra', track='B1', raw_track='María Lionza'	María Lionza	SRC0003-B0001-REL001	Siembra	staged_for_review	B	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B1	https://fania.com/products/willie-colon-ruben-blades-siembra-1	1
SRC0003-B0001-SONG005	Ojos	high	Fania official shop product page: release='Siembra', track='B2', raw_track='Ojos'	Ojos	SRC0003-B0001-REL001	Siembra	staged_for_review	B	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B2	https://fania.com/products/willie-colon-ruben-blades-siembra-1	2
SRC0003-B0001-SONG006	Dime	high	Fania official shop product page: release='Siembra', track='B3', raw_track='Dime'	Dime	SRC0003-B0001-REL001	Siembra	staged_for_review	B	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B3	https://fania.com/products/willie-colon-ruben-blades-siembra-1	3
SRC0003-B0001-SONG007	Siembra	high	Fania official shop product page: release='Siembra', track='B4', raw_track='Siembra'	Siembra	SRC0003-B0001-REL001	Siembra	staged_for_review	B	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1#track-B4	https://fania.com/products/willie-colon-ruben-blades-siembra-1	4
SRC0003-B0001-SONG008	Quimbara	high	Fania official shop product page: release='Celia & Johnny', track='A1', raw_track='Quimbara'	Quimbara	SRC0003-B0001-REL002	Celia & Johnny	staged_for_review	A	SRC0003	Fania Records	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A1	https://fania.com/products/celia-johnny-celia-johnny-lp	1
SRC0003-B0001-SONG009	Toro Mata	high	Fania official shop product page: release='Celia & Johnny', track='A2', raw_track='Toro Mata'	Toro Mata	SRC0003-B0001-REL002	Celia & Johnny	staged_for_review	A	SRC0003	Fania Records	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A2	https://fania.com/products/celia-johnny-celia-johnny-lp	2
SRC0003-B0001-SONG010	Vieja Luna	high	Fania official shop product page: release='Celia & Johnny', track='A3', raw_track='Vieja Luna'	Vieja Luna	SRC0003-B0001-REL002	Celia & Johnny	staged_for_review	A	SRC0003	Fania Records	https://fania.com/products/celia-johnny-celia-johnny-lp#track-A3	https://fania.com/products/celia-johnny-celia-johnny-lp	3
