artist_text	batch_recording_id	confidence	evidence_text	global_track_number	label_name	raw_track_title	recording_title	reference_number	release_candidate_id	release_format	release_genre	release_interpreter	release_title	release_year	review_status	side	source_id	source_name	source_reference	source_url	track_number
La Sonora Matancera	SRC0002-B0004-REC022	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='2', raw_track='Malao de Caña'	22	Discos Fuentes	Malao de Caña	Malao de Caña	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	2
Orquesta de Bebo Valdés	SRC0002-B0004-REC023	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='3', raw_track='El Que Siembra Su Maíz'	23	Discos Fuentes	El Que Siembra Su Maíz	El Que Siembra Su Maíz	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	3
Celina y Reutilio	SRC0002-B0004-REC024	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='4', raw_track='A San Lázaro (Babalú)'	24	Discos Fuentes	A San Lázaro (Babalú)	A San Lázaro (Babalú)	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	4
Fruko y Orquesta	SRC0002-B0004-REC025	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='5', raw_track='Lupita'	25	Discos Fuentes	Lupita	Lupita	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	5
Los Compadres	SRC0002-B0004-REC026	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='6', raw_track='Yo Tengo Pena'	26	Discos Fuentes	Yo Tengo Pena	Yo Tengo Pena	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	6
Roberto Ledesma	SRC0002-B0004-REC027	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='7', raw_track='Mira Que Eres Linda'	27	Discos Fuentes	Mira Que Eres Linda	Mira Que Eres Linda	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	7
Trío Matamoros	SRC0002-B0004-REC028	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='8', raw_track='Alegre Petición'	28	Discos Fuentes	Alegre Petición	Alegre Petición	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	8
Orlando Contreras	SRC0002-B0004-REC029	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='9', raw_track='Nuevamente'	29	Discos Fuentes	Nuevamente	Nuevamente	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	9
Los Guaracheros de Oriente	SRC0002-B0004-REC030	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='10', raw_track='Adiós Compay Gato'	30	Discos Fuentes	Adiós Compay Gato	Adiós Compay Gato	GE5029	SRC0002-B0004-REL004	USB	Tropical	Varios Artistas	Colección 100 Éxitos de Música Cubana		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	10
Varios Artistas	SRC0002-B0004-REC031	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='1', raw_track='Las Tapas'	31	Discos Fuentes	Las Tapas	Las Tapas	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	1
