artist_candidate_id	raw_artist_text	candidate_artist_type	promotion_status	entity_type	entity_id	canonical_artist_name	source_id	source_reference	match_basis	confidence	review_status
SRC0002-B0002-ART001	Los Cumbia Stars	group_candidate	MATCH_EXISTING	group	GRP0251	Los Cumbia Stars	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	exact_normalized_group_name_match	high	approved
SRC0002-B0002-ART002	Papaya Dada	performer_candidate_needs_review	REVIEW_REQUIRED				SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	candidate_type_does_not_identify_group_or_performer_without_external_authority	medium-high	staged_for_review
SRC0002-B0002-ART003	Los Mirlos	group_candidate	NEW	group	GRP0260	Los Mirlos	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	official_source_artist_text_and_group_candidate_classification	medium-high	approved
SRC0002-B0002-ART004	La Ronda Bogotá	group_candidate	NEW	group	GRP0261	La Ronda Bogotá	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	official_source_artist_text_and_group_candidate_classification	medium-high	approved
SRC0002-B0002-ART005	Pascual Ilabaca	performer_candidate_needs_review	REVIEW_REQUIRED				SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	candidate_type_does_not_identify_group_or_performer_without_external_authority	medium-high	staged_for_review
SRC0002-B0002-ART006	C4 Trío	group_candidate	NEW	group	GRP0262	C4 Trío	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	official_source_artist_text_and_group_candidate_classification	medium-high	approved
SRC0002-B0002-ART007	Onda Sabanera	group_candidate	NEW	group	GRP0263	Onda Sabanera	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	official_source_artist_text_and_group_candidate_classification	medium-high	approved
SRC0002-B0002-ART008	Alemor	performer_candidate_needs_review	REVIEW_REQUIRED				SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	candidate_type_does_not_identify_group_or_performer_without_external_authority	medium-high	staged_for_review
SRC0002-B0002-ART009	Cumbia Club	group_candidate	NEW	group	GRP0264	Cumbia Club	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	official_source_artist_text_and_group_candidate_classification	medium-high	approved
SRC0002-B0002-ART010	Aye Alfonso	performer_candidate_needs_review	REVIEW_REQUIRED				SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/	candidate_type_does_not_identify_group_or_performer_without_external_authority	medium-high	staged_for_review
