batch_recording_id	source_id	source_name	source_url	release_candidate_id	release_title	release_interpreter	release_genre	release_format	release_year	reference_number	side	track_number	global_track_number	raw_track_title	recording_title	artist_text	label_name	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-REC001	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			A	1	1	La Danza del Mono	La Danza del Mono	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A1	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A1', raw_track='La Danza del Mono'	high	staged_for_review
SRC0002-B0003-REC002	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			A	2	2	Cumbia y Nada Más	Cumbia y Nada Más	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A2	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A2', raw_track='Cumbia y Nada Más'	high	staged_for_review
SRC0002-B0003-REC003	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			A	3	3	Trueno	Trueno	Afrosound (Feat. Fruko)	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A3	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A3', raw_track='Trueno'	high	staged_for_review
SRC0002-B0003-REC004	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			A	4	4	Cumbia de Mis Penas	Cumbia de Mis Penas	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A4	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A4', raw_track='Cumbia de Mis Penas'	high	staged_for_review
SRC0002-B0003-REC005	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			A	5	5	Afrocumbé	Afrocumbé	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-A5	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='A5', raw_track='Afrocumbé'	high	staged_for_review
SRC0002-B0003-REC006	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			B	1	6	La Chula Loba	La Chula Loba	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B1	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B1', raw_track='La Chula Loba'	high	staged_for_review
SRC0002-B0003-REC007	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			B	2	7	El Aguacero	El Aguacero	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B2	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B2', raw_track='El Aguacero'	high	staged_for_review
SRC0002-B0003-REC008	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			B	3	8	Mardito	Mardito	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B3	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B3', raw_track='Mardito'	high	staged_for_review
SRC0002-B0003-REC009	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			B	4	9	Cajita de Cumbia	Cajita de Cumbia	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B4	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B4', raw_track='Cajita de Cumbia'	high	staged_for_review
SRC0002-B0003-REC010	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	Afrosound	Tropical	LP Estereo 33 RPM			B	5	10	Chiribiquete	Chiribiquete	Afrosound	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/#track-B5	Discos Fuentes shop product page: release='LP - Cumbia y Nada Más', track='B5', raw_track='Chiribiquete'	high	staged_for_review
